Loop View,Loop ID,Loop Name,Loop Status,Compliance Status,Tags,Created Date,Closing Date,Expiration Date,Listing Date,Joined Date,Offer Date,Address,Price,Created By,Created By Admin,Agents,Property Address / City,Property Address / Country,Property Address / County,Property Address / State/Prov,Property Address / Street Name,Property Address / Street Number,Property Address / Zip/Postal Code,Contract Dates / Closing Date,Contract Dates / Contract Agreement Date,Financials / Earnest Money Amount,Financials / Earnest Money Held By,Financials / Purchase/Sale Price,Financials / Sale Commission Rate,Financials / Sale Commission Split $ - Buy Side,Financials / Sale Commission Split $ - Sell Side,Financials / Sale Commission Split % - Buy Side,Financials / Sale Commission Split % - Sell Side,Financials / Sale Commission Total,Listing Information / Current Price,Listing Information / Original Price,Listing Information / Listing Date,Property / Bathrooms,Property / Bedrooms,Property / Lot Size,Property / Square Footage,Property / Type,Property / Year Built,Referral / Referral %,Referral / Referral Source,Company Information / office managing broker,Net to Office
300000012,300000012,"5358 Cedar Blvd, Woodstock, GA 30000",Active Listings,Pending,,2025-02-22,,2025-08-21,2025-02-22,2025-02-22,,"5358 Cedar Blvd, Woodstock, GA 30000","$550,900.00",Emily Chen,false,Emily Chen,Woodstock,USA,Fulton,GA,"Cedar Blvd,",5358,30000,,,"$5,509.00",Broker,"$550,900.00",3%,"$16,527.00",,3%,0%,"$16,527.00","$550,900.00","$550,900.00",02/22/2025,5,4,16691,2691,Single Family,2022,0%,Realtor.com,John Broker,"$3,305.40"
300000013,300000013,"3092 Hillcrest Rd, Alpharetta, GA 30000",Sold,Approved,,2025-07-27,2025-11-17,2026-01-23,2025-07-27,2025-07-27,2025-10-08,"3092 Hillcrest Rd, Alpharetta, GA 30000","$762,900.00",William Jackson,false,William Jackson,Alpharetta,USA,Fulton,GA,"Hillcrest Rd,",3092,30000,2025-11-17,2025-10-08,"$7,629.00",Broker,"$762,900.00",3%,"$22,887.00",,3%,0%,"$22,887.00","$762,900.00","$762,900.00",07/27/2025,5,6,10451,3102,Single Family,1982,0%,Open House,John Broker,"$4,577.40"
300000014,300000014,"5885 Main St, Decatur, GA 30000",Under Contract,Pending,,2025-12-18,2026-02-08,2026-06-16,2025-12-18,2025-12-18,2025-12-24,"5885 Main St, Decatur, GA 30000","$724,000.00",Sarah Miller,false,Sarah Miller,Decatur,USA,Fulton,GA,"Main St,",5885,30000,2026-02-08,2025-12-24,"$7,240.00",Broker,"$724,000.00",3%,"$21,720.00",,3%,0%,"$21,720.00","$724,000.00","$770,000.00",12/18/2025,5,5,25266,2403,Multi-Family,1986,0%,Sphere of Influence,John Broker,"$4,344.00"
300000015,300000015,"1117 Washington Ave, Alpharetta, GA 30000",Under Contract,Pending,Top Producer,2025-05-31,2025-09-05,2025-11-27,2025-05-31,2025-05-31,2025-07-18,"1117 Washington Ave, Alpharetta, GA 30000","$1,147,000.00",Elizabeth White,false,Elizabeth White,Alpharetta,USA,Fulton,GA,"Washington Ave,",1117,30000,2025-09-05,2025-07-18,"$11,470.00",Broker,"$1,147,000.00",3%,"$34,410.00",,3%,0%,"$34,410.00","$1,147,000.00","$1,191,000.00",05/31/2025,2,6,35095,4347,Multi-Family,2007,0%,Sphere of Influence,John Broker,"$6,882.00"
300000016,300000016,"3048 Pine Ln, Marietta, GA 30000",Sold,Approved,,2025-06-30,2025-10-20,2025-12-27,2025-06-30,2025-06-30,2025-09-19,"3048 Pine Ln, Marietta, GA 30000","$624,900.00",James Wilson,false,James Wilson,Marietta,USA,Fulton,GA,"Pine Ln,",3048,30000,2025-10-20,2025-09-19,"$6,249.00",Broker,"$624,900.00",3%,,"$18,747.00",0%,3%,"$18,747.00","$624,900.00","$624,900.00",06/30/2025,4,4,34963,3695,Townhouse,2009,0%,Sphere of Influence,John Broker,"$3,749.40"
300000017,300000017,"6737 Pine Ln, Woodstock, GA 30000",Under Contract,Pending,,2025-08-22,2025-10-25,2026-02-18,2025-08-22,2025-08-22,2025-09-18,"6737 Pine Ln, Woodstock, GA 30000","$112,900.00",Lisa Thomas,false,Lisa Thomas,Woodstock,USA,Fulton,GA,"Pine Ln,",6737,30000,2025-10-25,2025-09-18,"$1,129.00",Broker,"$112,900.00",3%,,"$3,387.00",0%,3%,"$3,387.00","$112,900.00","$112,900.00",08/22/2025,2,4,5399,3992,Land,2006,0%,Open House,John Broker,$677.40
300000018,300000018,"4665 Lakeview Dr, Kennesaw, GA 30000",Sold,Approved,,2025-08-05,2025-09-21,2026-02-01,2025-08-05,2025-08-05,2025-08-21,"4665 Lakeview Dr, Kennesaw, GA 30000","$374,000.00",Michael Brown,false,Michael Brown,Kennesaw,USA,Fulton,GA,"Lakeview Dr,",4665,30000,2025-09-21,2025-08-21,"$3,740.00",Broker,"$374,000.00",3%,,"$11,220.00",0%,3%,"$11,220.00","$374,000.00","$374,000.00",08/05/2025,2,3,26138,4454,Townhouse,2019,0%,Zillow,John Broker,"$2,244.00"
300000019,300000019,"2218 Lakeview Dr, Decatur, GA 30000",Under Contract,Pending,,2025-12-25,2026-03-27,2026-06-23,2025-12-25,2025-12-25,2026-02-23,"2218 Lakeview Dr, Decatur, GA 30000","$55,900.00",Jennifer Taylor,false,Jennifer Taylor,Decatur,USA,Fulton,GA,"Lakeview Dr,",2218,30000,2026-03-27,2026-02-23,$559.00,Broker,"$55,900.00",3%,,"$1,677.00",0%,3%,"$1,677.00","$55,900.00","$55,900.00",12/25/2025,3,4,30901,2447,Land,2024,0%,Sphere of Influence,John Broker,$335.40
300000020,300000020,"2647 Elm St, Kennesaw, GA 30000",Under Contract,Pending,,2026-01-04,2026-03-02,2026-07-03,2026-01-04,2026-01-04,2026-01-11,"2647 Elm St, Kennesaw, GA 30000","$366,900.00",Lisa Thomas,false,Lisa Thomas,Kennesaw,USA,Fulton,GA,"Elm St,",2647,30000,2026-03-02,2026-01-11,"$3,669.00",Broker,"$366,900.00",3%,"$11,007.00","$11,007.00",3%,3%,"$22,014.00","$366,900.00","$390,900.00",01/04/2026,4,4,19930,3242,Land,1986,0%,Facebook Ads,John Broker,"$4,402.80"
300000021,300000021,"2112 Park Pl, Kennesaw, GA 30000",Under Contract,Pending,,2026-01-19,2026-05-14,2026-07-18,2026-01-19,2026-01-19,2026-03-16,"2112 Park Pl, Kennesaw, GA 30000","$492,000.00",Christopher Harris,false,Christopher Harris,Kennesaw,USA,Fulton,GA,"Park Pl,",2112,30000,2026-05-14,2026-03-16,"$4,920.00",Broker,"$492,000.00",3%,"$14,760.00","$14,760.00",3%,3%,"$29,520.00","$492,000.00","$492,000.00",01/19/2026,4,4,34823,3691,Single Family,1988,0%,Facebook Ads,John Broker,"$5,904.00"
300000022,300000022,"2549 Cedar Blvd, Smyrna, GA 30000",Sold,Approved,Top Producer,2025-04-23,2025-08-20,2025-10-20,2025-04-23,2025-04-23,2025-07-10,"2549 Cedar Blvd, Smyrna, GA 30000","$854,900.00",Jessica Davis,false,Jessica Davis,Smyrna,USA,Fulton,GA,"Cedar Blvd,",2549,30000,2025-08-20,2025-07-10,"$8,549.00",Broker,"$854,900.00",3%,"$25,647.00",,3%,0%,"$25,647.00","$854,900.00","$854,900.00",04/23/2025,4,6,29643,4527,Multi-Family,1996,25%,Referral,John Broker,"$5,129.40"
300000023,300000023,"2351 Maple Dr, Woodstock, GA 30000",Sold,Approved,,2025-06-27,2025-09-26,2025-12-24,2025-06-27,2025-06-27,2025-08-05,"2351 Maple Dr, Woodstock, GA 30000","$98,000.00",Sarah Miller,false,Sarah Miller,Woodstock,USA,Fulton,GA,"Maple Dr,",2351,30000,2025-09-26,2025-08-05,$980.00,Broker,"$98,000.00",3%,"$2,940.00",,3%,0%,"$2,940.00","$98,000.00","$98,000.00",06/27/2025,3,5,15232,4627,Land,2013,0%,Realtor.com,John Broker,$588.00
300000024,300000024,"404 Park Pl, Sandy Springs, GA 30000",Sold,Approved,Top Producer,2025-05-21,2025-08-25,2025-11-17,2025-05-21,2025-05-21,2025-07-07,"404 Park Pl, Sandy Springs, GA 30000","$925,900.00",Michael Brown,false,Michael Brown,Sandy Springs,USA,Fulton,GA,"Park Pl,",404,30000,2025-08-25,2025-07-07,"$9,259.00",Broker,"$925,900.00",3%,,"$27,777.00",0%,3%,"$27,777.00","$925,900.00","$925,900.00",05/21/2025,2,5,34294,4914,Single Family,1996,0%,Realtor.com,John Broker,"$5,555.40"
300000025,300000025,"5998 Pine Ln, Kennesaw, GA 30000",Under Contract,Pending,Top Producer,2026-01-06,2026-05-06,2026-07-05,2026-01-06,2026-01-06,2026-03-29,"5998 Pine Ln, Kennesaw, GA 30000","$886,900.00",David Martinez,false,David Martinez,Kennesaw,USA,Fulton,GA,"Pine Ln,",5998,30000,2026-05-06,2026-03-29,"$8,869.00",Broker,"$886,900.00",3%,"$26,607.00",,3%,0%,"$26,607.00","$886,900.00","$904,900.00",01/06/2026,2,3,11082,1972,Multi-Family,2002,0%,Realtor.com,John Broker,"$5,321.40"
300000026,300000026,"9561 Park Pl, Woodstock, GA 30000",Under Contract,Pending,,2025-10-07,2025-12-25,2026-04-05,2025-10-07,2025-10-07,2025-10-28,"9561 Park Pl, Woodstock, GA 30000","$326,900.00",Amanda Garcia,false,Amanda Garcia,Woodstock,USA,Fulton,GA,"Park Pl,",9561,30000,2025-12-25,2025-10-28,"$3,269.00",Broker,"$326,900.00",3%,"$9,807.00",,3%,0%,"$9,807.00","$326,900.00","$356,900.00",10/07/2025,2,3,10008,2341,Condo,2000,0%,Direct Mail,John Broker,"$1,961.40"
300000027,300000027,"6337 Main St, Lawrenceville, GA 30000",Under Contract,Pending,,2026-01-17,2026-04-24,2026-07-16,2026-01-17,2026-01-17,2026-03-12,"6337 Main St, Lawrenceville, GA 30000","$128,000.00",Elizabeth White,false,Elizabeth White,Lawrenceville,USA,Fulton,GA,"Main St,",6337,30000,2026-04-24,2026-03-12,"$1,280.00",Broker,"$128,000.00",3%,,"$3,840.00",0%,3%,"$3,840.00","$128,000.00","$128,000.00",01/17/2026,2,6,35701,4013,Land,2007,0%,Sphere of Influence,John Broker,$768.00
300000028,300000028,"7379 Pine Ln, Roswell, GA 30000",Sold,Approved,Top Producer,2025-03-31,2025-06-27,2025-09-27,2025-03-31,2025-03-31,2025-05-12,"7379 Pine Ln, Roswell, GA 30000","$1,030,000.00",Lisa Thomas,false,Lisa Thomas,Roswell,USA,Fulton,GA,"Pine Ln,",7379,30000,2025-06-27,2025-05-12,"$10,300.00",Broker,"$1,030,000.00",3%,,"$30,900.00",0%,3%,"$30,900.00","$1,030,000.00","$1,030,000.00",03/31/2025,3,6,24536,4018,Single Family,2008,0%,Direct Mail,John Broker,"$6,180.00"
300000029,300000029,"4160 Lakeview Dr, Woodstock, GA 30000",Sold,Approved,,2025-03-02,2025-06-24,2025-08-29,2025-03-02,2025-03-02,2025-05-19,"4160 Lakeview Dr, Woodstock, GA 30000","$323,000.00",William Jackson,false,William Jackson,Woodstock,USA,Fulton,GA,"Lakeview Dr,",4160,30000,2025-06-24,2025-05-19,"$3,230.00",Broker,"$323,000.00",3%,,"$9,690.00",0%,3%,"$9,690.00","$323,000.00","$365,000.00",03/02/2025,3,3,5361,2979,Land,1992,0%,Realtor.com,John Broker,"$1,938.00"
300000030,300000030,"2766 Pine Ln, Kennesaw, GA 30000",Sold,Approved,Top Producer,2025-01-28,2025-05-15,2025-07-27,2025-01-28,2025-01-28,2025-04-07,"2766 Pine Ln, Kennesaw, GA 30000","$1,076,900.00",Elizabeth White,false,Elizabeth White,Kennesaw,USA,Fulton,GA,"Pine Ln,",2766,30000,2025-05-15,2025-04-07,"$10,769.00",Broker,"$1,076,900.00",3%,"$32,307.00",,3%,0%,"$32,307.00","$1,076,900.00","$1,096,900.00",01/28/2025,2,4,25584,4542,Single Family,2019,0%,Walk-in,John Broker,"$6,461.40"
300000031,300000031,"6585 Hillcrest Rd, Decatur, GA 30000",Active Listings,Pending,,2025-09-20,,2026-03-19,2025-09-20,2025-09-20,,"6585 Hillcrest Rd, Decatur, GA 30000","$520,900.00",Robert Anderson,false,Robert Anderson,Decatur,USA,Fulton,GA,"Hillcrest Rd,",6585,30000,,,"$5,209.00",Broker,"$520,900.00",3%,"$15,627.00",,3%,0%,"$15,627.00","$520,900.00","$541,900.00",09/20/2025,4,3,21189,2415,Condo,1985,25%,Referral,John Broker,"$3,125.40"
300000032,300000032,"689 Oak Ave, Alpharetta, GA 30000",Under Contract,Pending,Top Producer,2026-01-10,2026-03-14,2026-07-09,2026-01-10,2026-01-10,2026-01-19,"689 Oak Ave, Alpharetta, GA 30000","$1,407,000.00",Christopher Harris,false,Christopher Harris,Alpharetta,USA,Fulton,GA,"Oak Ave,",689,30000,2026-03-14,2026-01-19,"$14,070.00",Broker,"$1,407,000.00",3%,"$42,210.00",,3%,0%,"$42,210.00","$1,407,000.00","$1,434,000.00",01/10/2026,2,6,25742,4233,Single Family,2012,0%,Open House,John Broker,"$8,442.00"
300000033,300000033,"5497 Park Pl, Lawrenceville, GA 30000",Active Listings,Pending,,2025-12-21,,2026-06-19,2025-12-21,2025-12-21,,"5497 Park Pl, Lawrenceville, GA 30000","$799,000.00",Christopher Harris,false,Christopher Harris,Lawrenceville,USA,Fulton,GA,"Park Pl,",5497,30000,,,"$7,990.00",Broker,"$799,000.00",3%,"$23,970.00","$23,970.00",3%,3%,"$47,940.00","$799,000.00","$799,000.00",12/21/2025,2,3,34820,3378,Multi-Family,1984,25%,Referral,John Broker,"$9,588.00"
300000034,300000034,"6949 Park Pl, Decatur, GA 30000",Archived,Pending,,2025-07-09,,2026-01-05,2025-07-09,2025-07-09,2025-08-22,"6949 Park Pl, Decatur, GA 30000","$291,900.00",Michael Brown,false,Michael Brown,Decatur,USA,Fulton,GA,"Park Pl,",6949,30000,,2025-08-22,"$2,919.00",Broker,"$291,900.00",3%,"$8,757.00",,3%,0%,"$8,757.00","$291,900.00","$304,900.00",07/09/2025,3,3,31830,1636,Land,2005,0%,Walk-in,John Broker,"$1,751.40"
300000035,300000035,"5562 Washington Ave, Decatur, GA 30000",Under Contract,Pending,,2026-01-06,2026-04-15,2026-07-05,2026-01-06,2026-01-06,2026-03-08,"5562 Washington Ave, Decatur, GA 30000","$156,000.00",James Wilson,false,James Wilson,Decatur,USA,Fulton,GA,"Washington Ave,",5562,30000,2026-04-15,2026-03-08,"$1,560.00",Broker,"$156,000.00",3%,,"$4,680.00",0%,3%,"$4,680.00","$156,000.00","$192,000.00",01/06/2026,5,3,7372,4791,Land,1991,0%,Facebook Ads,John Broker,$936.00
300000036,300000036,"7670 Oak Ave, Sandy Springs, GA 30000",Active Listings,Pending,,2025-10-05,,2026-04-03,2025-10-05,2025-10-05,,"7670 Oak Ave, Sandy Springs, GA 30000","$155,000.00",Elizabeth White,false,Elizabeth White,Sandy Springs,USA,Fulton,GA,"Oak Ave,",7670,30000,,,"$1,550.00",Broker,"$155,000.00",3%,"$4,650.00",,3%,0%,"$4,650.00","$155,000.00","$186,000.00",10/05/2025,2,4,19375,4598,Land,1992,0%,Walk-in,John Broker,$930.00
300000037,300000037,"5150 Cedar Blvd, Roswell, GA 30000",Under Contract,Pending,Top Producer,2026-02-03,2026-05-22,2026-08-02,2026-02-03,2026-02-03,2026-04-10,"5150 Cedar Blvd, Roswell, GA 30000","$1,287,000.00",Jennifer Taylor,false,Jennifer Taylor,Roswell,USA,Fulton,GA,"Cedar Blvd,",5150,30000,2026-05-22,2026-04-10,"$12,870.00",Broker,"$1,287,000.00",3%,,"$38,610.00",0%,3%,"$38,610.00","$1,287,000.00","$1,287,000.00",02/03/2026,5,6,24736,4842,Single Family,2018,0%,Sphere of Influence,John Broker,"$7,722.00"
300000038,300000038,"5485 Cedar Blvd, Lawrenceville, GA 30000",Under Contract,Pending,,2025-09-04,2025-11-22,2026-03-03,2025-09-04,2025-09-04,2025-10-17,"5485 Cedar Blvd, Lawrenceville, GA 30000","$302,900.00",Amanda Garcia,false,Amanda Garcia,Lawrenceville,USA,Fulton,GA,"Cedar Blvd,",5485,30000,2025-11-22,2025-10-17,"$3,029.00",Broker,"$302,900.00",3%,"$9,087.00","$9,087.00",3%,3%,"$18,174.00","$302,900.00","$302,900.00",09/04/2025,4,6,26991,2626,Land,2015,0%,Open House,John Broker,"$3,634.80"
300000039,300000039,"9839 Lakeview Dr, Sandy Springs, GA 30000",Sold,Approved,Top Producer,2025-06-28,2025-10-18,2025-12-25,2025-06-28,2025-06-28,2025-09-07,"9839 Lakeview Dr, Sandy Springs, GA 30000","$986,900.00",Amanda Garcia,false,Amanda Garcia,Sandy Springs,USA,Fulton,GA,"Lakeview Dr,",9839,30000,2025-10-18,2025-09-07,"$9,869.00",Broker,"$986,900.00",3%,,"$29,607.00",0%,3%,"$29,607.00","$986,900.00","$1,007,900.00",06/28/2025,3,3,11726,2899,Multi-Family,2012,0%,Facebook Ads,John Broker,"$5,921.40"
300000040,300000040,"9597 Elm St, Kennesaw, GA 30000",Under Contract,Pending,,2026-01-22,2026-04-12,2026-07-21,2026-01-22,2026-01-22,2026-02-12,"9597 Elm St, Kennesaw, GA 30000","$259,900.00",Matthew Thompson,false,Matthew Thompson,Kennesaw,USA,Fulton,GA,"Elm St,",9597,30000,2026-04-12,2026-02-12,"$2,599.00",Broker,"$259,900.00",3%,"$7,797.00",,3%,0%,"$7,797.00","$259,900.00","$259,900.00",01/22/2026,2,5,16875,2246,Land,1993,0%,Realtor.com,John Broker,"$1,559.40"
300000041,300000041,"7231 Elm St, Woodstock, GA 30000",Sold,Approved,Top Producer,2025-02-01,2025-04-26,2025-07-31,2025-02-01,2025-02-01,2025-02-25,"7231 Elm St, Woodstock, GA 30000","$1,092,000.00",Jennifer Taylor,false,Jennifer Taylor,Woodstock,USA,Fulton,GA,"Elm St,",7231,30000,2025-04-26,2025-02-25,"$10,920.00",Broker,"$1,092,000.00",3%,,"$32,760.00",0%,3%,"$32,760.00","$1,092,000.00","$1,092,000.00",02/01/2025,4,4,22505,3369,Multi-Family,2012,0%,Direct Mail,John Broker,"$6,552.00"
300000042,300000042,"9433 Pine Ln, Woodstock, GA 30000",Active Listings,Pending,,2025-06-30,,2025-12-27,2025-06-30,2025-06-30,,"9433 Pine Ln, Woodstock, GA 30000","$362,000.00",Amanda Garcia,false,Amanda Garcia,Woodstock,USA,Fulton,GA,"Pine Ln,",9433,30000,,,"$3,620.00",Broker,"$362,000.00",3%,,"$10,860.00",0%,3%,"$10,860.00","$362,000.00","$379,000.00",06/30/2025,2,3,5803,3015,Land,1986,0%,Zillow,John Broker,"$2,172.00"
300000043,300000043,"7955 Lakeview Dr, Alpharetta, GA 30000",Active Listings,Pending,,2025-07-31,,2026-01-27,2025-07-31,2025-07-31,,"7955 Lakeview Dr, Alpharetta, GA 30000","$224,900.00",Jessica Davis,false,Jessica Davis,Alpharetta,USA,Fulton,GA,"Lakeview Dr,",7955,30000,,,"$2,249.00",Broker,"$224,900.00",3%,,"$6,747.00",0%,3%,"$6,747.00","$224,900.00","$252,900.00",07/31/2025,2,3,20437,2901,Land,1988,0%,Sphere of Influence,John Broker,"$1,349.40"
300000044,300000044,"9137 Cedar Blvd, Atlanta, GA 30000",Sold,Approved,Top Producer,2025-03-24,2025-05-04,2025-09-20,2025-03-24,2025-03-24,2025-04-04,"9137 Cedar Blvd, Atlanta, GA 30000","$921,900.00",Lisa Thomas,false,Lisa Thomas,Atlanta,USA,Fulton,GA,"Cedar Blvd,",9137,30000,2025-05-04,2025-04-04,"$9,219.00",Broker,"$921,900.00",3%,"$27,657.00",,3%,0%,"$27,657.00","$921,900.00","$951,900.00",03/24/2025,3,5,8674,4229,Multi-Family,2021,0%,Zillow,John Broker,"$5,531.40"
